PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,38,1,8,3
20,38,2,2,3
20,36,3,7,3

40,37,1,2,3
40,42,2,2,4
40,42,3,6,3

60,36,1,2,5
60,38,2,8,5
60,36,3,7,5
